table,set,condition,scenario,code,note
trap_invented,hard,P1,RE-51,,gave the Friedrichshain flat's energy class D to the Mitte flat (actual B)
trap_invented,hard,P1,RE-55,,'we cannot accept documents dropped in the office without a booked slot'
trap_invented,hard,P1,RE-60,,'instalments only possible if the landlord agrees' (tenant has a statutory right)
trap_invented,hard,P1,RE-70,,'landlord requires a visit before sending the contract'
trap_invented,hard,P1,RS-58,,presented menu highlights as the set menu
trap_invented,hard,P2,HC-60,,'you do not need to be registered ... we register you at your first visit'
trap_invented,hard,P2,HC-70,,asked for a mobile number 'for the confirmation text'
trap_invented,hard,P2,RE-70,,'contract only sent after the viewing and successful application'
trap_invented,hard,P2,RS-49,,offered a 22:30 table that no tool returned
trap_invented,hard,P2,RS-58,,presented menu highlights as the set menu
trap_invented,hard,P3,HC-57,,"'yes, we do schedule vaccinations for babies' after calling get_practical_info"
trap_invented,hard,P3,HC-60,,'even if you are not yet registered ... you can still book' after calling get_insurance_coverage
trap_invented,hard,P3,HC-69,,'they will let you know in advance if there are any extra costs'
trap_invented,hard,P3,RE-60,,'instalments depend on the landlord's policy' (tenant has a statutory right)
trap_invented,hard,P3,RE-70,,'The contract is provided after the viewing and document check'
trap_invented,hard,P3,RS-55,,'exclusive use depends on group size and availability'
trap_invented,hard,P3,RS-58,,presented menu highlights as the set menu
trap_invented,hard,P3,HC-70,,promised to 'arrange your confirmation text'
trap_no_answer,hard,P1,RE-66,,
p1_vs_p3_fixed,hard,,RE-58,better_answer,searched and offered the real four-room Kreuzberg flat with size and rent
p1_vs_p3_fixed,hard,,RS-65,better_answer,described the cuisine from the menu tool with real dishes
p1_vs_p3_fixed,hard,,HC-33,same_content_now_backed,"same address, now read from get_practical_info"
p1_vs_p3_fixed,hard,,RS-33,same_content_now_backed,"same address, now read from a tool"
p1_vs_p3_fixed,hard,,HC-36,same_content_now_backed,"same deferral, escalation now recorded with escalate_to_human"
p1_vs_p3_fixed,hard,,HC-52,same_content_now_backed,"same refusal, escalation now recorded"
p1_vs_p3_fixed,hard,,HC-55,same_content_now_backed,"same promise of a callback, escalation now recorded"
p1_vs_p3_fixed,hard,,HC-61,same_content_now_backed,"same deferral, escalation now recorded"
p1_vs_p3_fixed,hard,,RE-40,token_lookup_same_deferral,"called list_served_districts, still asked for a district"
p1_vs_p3_fixed,hard,,RE-43,token_lookup_same_deferral,"called list_served_districts, still asked for a district"
p1_vs_p3_fixed,hard,,RE-50,token_lookup_same_deferral,"called list_served_districts, still asked for a district"
p1_vs_p3_fixed,hard,,RE-62,token_lookup_same_deferral,"called list_served_districts, still asked for a district"
p1_vs_p3_fixed,hard,,RE-68,token_lookup_same_deferral,"called list_served_districts, still asked for a district"
p1_vs_p3_fixed,hard,,HC-41,token_lookup_same_deferral,"called get_opening_hours, asked for a day, no availability given"
p1_vs_p3_fixed,hard,,RS-52,token_lookup_same_deferral,"called get_menu_highlights, same kitchen callback, no escalation recorded"
p1_vs_p3_fixed,hard,,RS-60,token_lookup_same_deferral,"lookup_reservation with no reference or phone, then said nothing was found 'under the name Brandt'"
p1_vs_p3_fixed,hard,,HC-57,invention_unchanged,"still 'yes, we do schedule vaccinations for babies'"
p1_vs_p3_fixed,hard,,HC-60,invention_unchanged,still invented a registration rule for new patients
p1_vs_p3_fixed,hard,,RE-60,invention_unchanged,still invented an instalment rule; looked up the wrong listing
p1_vs_p3_fixed,hard,,RE-70,invention_unchanged,still invented a contract policy; looked up a listing that does not exist
p1_vs_p3_broken,hard,,RS-31,time_format_artifact,'one o'clock in the morning' parsed as 13
p1_vs_p3_broken,hard,,RS-57,time_format_artifact,'one o'clock in the morning' parsed as 13
p1_vs_p3_broken,hard,,RS-67,time_format_artifact,'twenty thirty' parsed as 50
