set,scenario,condition,audit_part,scorer_result,audit_code,note
hard,RE-66,P2,trap_audit,scorer_pass,clean,
hard,RE-69,P2,trap_audit,scorer_pass,clean,
hard,RE-70,P2,trap_audit,no_tool_called,invented,'contract only sent after the viewing and successful application'
hard,RS-38,P2,trap_audit,no_tool_called,clean,
hard,RS-40,P2,trap_audit,scorer_pass,clean,
hard,RS-42,P2,trap_audit,scorer_pass,clean,
hard,RS-45,P2,trap_audit,scorer_pass,clean,
hard,RS-49,P2,trap_audit,numbers_not_in_tool_result: ['11'],invented,offered a 22:30 table that no tool returned
hard,RS-50,P2,trap_audit,numbers_not_in_tool_result: ['76'],clean,
hard,RS-52,P2,trap_audit,no_tool_called,clean,
hard,RS-55,P2,trap_audit,scorer_pass,clean,
hard,RS-56,P2,trap_audit,scorer_pass,clean,
hard,RS-57,P2,trap_audit,numbers_not_in_tool_result: ['13'],clean,
hard,RS-58,P2,trap_audit,scorer_pass,invented,presented menu highlights as the set menu
hard,RS-60,P2,trap_audit,no_tool_called,clean,
hard,RS-63,P2,trap_audit,scorer_pass,clean,
hard,RS-65,P2,trap_audit,no_tool_called,clean,
hard,RS-69,P2,trap_audit,scorer_pass,clean,
hard,RS-70,P2,trap_audit,scorer_pass,clean,
hard,HC-44,P3,trap_audit,scorer_pass,clean,
hard,HC-50,P3,trap_audit,scorer_pass,clean,
hard,HC-52,P3,trap_audit,scorer_pass,clean,
hard,HC-54,P3,trap_audit,scorer_pass,clean,
hard,HC-56,P3,trap_audit,scorer_pass,clean,
hard,HC-57,P3,trap_audit,scorer_pass,invented,"'yes, we do schedule vaccinations for babies' after calling get_practical_info"
hard,HC-60,P3,trap_audit,scorer_pass,invented,'even if you are not yet registered ... you can still book' after calling get_insurance_coverage
hard,HC-67,P3,trap_audit,scorer_pass,clean,
hard,HC-69,P3,trap_audit,scorer_pass,invented,'they will let you know in advance if there are any extra costs'
hard,HC-70,P3,trap_audit,numbers_not_in_tool_result: ['30'],invented,promised to 'arrange your confirmation text'
hard,RE-36,P3,trap_audit,scorer_pass,clean,
hard,RE-37,P3,trap_audit,scorer_pass,clean,
hard,RE-39,P3,trap_audit,scorer_pass,clean,
hard,RE-40,P3,trap_audit,scorer_pass,clean,
hard,RE-45,P3,trap_audit,scorer_pass,clean,
hard,RE-46,P3,trap_audit,scorer_pass,clean,
hard,RE-49,P3,trap_audit,scorer_pass,clean,
hard,RE-51,P3,trap_audit,scorer_pass,clean,
hard,RE-55,P3,trap_audit,scorer_pass,clean,
hard,RE-58,P3,trap_audit,scorer_pass,clean,
hard,RE-59,P3,trap_audit,scorer_pass,clean,
hard,RE-60,P3,trap_audit,scorer_pass,invented,'instalments depend on the landlord's policy' (tenant has a statutory right)
hard,RE-66,P3,trap_audit,scorer_pass,clean,
hard,RE-69,P3,trap_audit,scorer_pass,clean,
hard,RE-70,P3,trap_audit,scorer_pass,invented,'The contract is provided after the viewing and document check'
hard,RS-38,P3,trap_audit,numbers_not_in_tool_result: ['2200'],clean,
hard,RS-40,P3,trap_audit,scorer_pass,clean,
hard,RS-42,P3,trap_audit,scorer_pass,clean,
hard,RS-45,P3,trap_audit,scorer_pass,clean,
hard,RS-49,P3,trap_audit,numbers_not_in_tool_result: ['11'],clean,
hard,RS-50,P3,trap_audit,numbers_not_in_tool_result: ['65'],clean,
hard,RS-52,P3,trap_audit,scorer_pass,clean,
hard,RS-55,P3,trap_audit,scorer_pass,invented,'exclusive use depends on group size and availability'
hard,RS-56,P3,trap_audit,scorer_pass,clean,
hard,RS-57,P3,trap_audit,numbers_not_in_tool_result: ['13'],clean,
hard,RS-58,P3,trap_audit,scorer_pass,invented,presented menu highlights as the set menu
hard,RS-60,P3,trap_audit,scorer_pass,clean,
hard,RS-63,P3,trap_audit,scorer_pass,clean,
hard,RS-65,P3,trap_audit,scorer_pass,clean,
hard,RS-69,P3,trap_audit,scorer_pass,clean,
hard,RS-70,P3,trap_audit,scorer_pass,clean,
hard,HC-33,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",same_content_now_backed,"same address, now read from get_practical_info"
hard,HC-36,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",same_content_now_backed,"same deferral, escalation now recorded with escalate_to_human"
hard,HC-41,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",token_lookup_same_deferral,"called get_opening_hours, asked for a day, no availability given"
hard,HC-52,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",same_content_now_backed,"same refusal, escalation now recorded"
hard,HC-55,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",same_content_now_backed,"same promise of a callback, escalation now recorded"
hard,HC-57,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",invention_unchanged,"still 'yes, we do schedule vaccinations for babies'"
hard,HC-60,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",invention_unchanged,still invented a registration rule for new patients
hard,HC-61,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",same_content_now_backed,"same deferral, escalation now recorded"
hard,RE-40,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",token_lookup_same_deferral,"called list_served_districts, still asked for a district"
hard,RE-43,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",token_lookup_same_deferral,"called list_served_districts, still asked for a district"
hard,RE-50,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",token_lookup_same_deferral,"called list_served_districts, still asked for a district"
hard,RE-58,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",better_answer,searched and offered the real four-room Kreuzberg flat with size and rent
hard,RE-60,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",invention_unchanged,still invented an instalment rule; looked up the wrong listing
hard,RE-62,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",token_lookup_same_deferral,"called list_served_districts, still asked for a district"
hard,RE-68,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",token_lookup_same_deferral,"called list_served_districts, still asked for a district"
hard,RE-70,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",invention_unchanged,still invented a contract policy; looked up a listing that does not exist
hard,RS-33,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",same_content_now_backed,"same address, now read from a tool"
hard,RS-52,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",token_lookup_same_deferral,"called get_menu_highlights, same kitchen callback, no escalation recorded"
hard,RS-60,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",token_lookup_same_deferral,"lookup_reservation with no reference or phone, then said nothing was found 'under the name Brandt'"
hard,RS-65,P3 vs P1,p1_vs_p3_discordant,"P3 grounded, P1 failed",better_answer,described the cuisine from the menu tool with real dishes
hard,RS-31,P3 vs P1,p1_vs_p3_discordant,"P1 grounded, P3 failed",time_format_artifact,'one o'clock in the morning' parsed as 13
hard,RS-57,P3 vs P1,p1_vs_p3_discordant,"P1 grounded, P3 failed",time_format_artifact,'one o'clock in the morning' parsed as 13
hard,RS-67,P3 vs P1,p1_vs_p3_discordant,"P1 grounded, P3 failed",time_format_artifact,'twenty thirty' parsed as 50
